Location,Time,Date,Location_code,Patch_ID,Uroleucon,Cycloneda_sanguinea
none,none,dd-mmm-yyyy,none,none,count,count
nominal,series,datetime,code,nominal,data,data
dike,1,1-Jun-14,1,1,1127,5
airport,2,3-Jun-14,2,1,36,0
dike,3,4-Jun-14,1,1,1065,3
lighthouse,4,5-Jun-14,3,1,157,1
airport,5,6-Jun-14,2,1,15,0
dike,6,7-Jun-14,1,1,1008,3
lighthouse,7,8-Jun-14,3,1,482,2
airport,8,9-Jun-14,2,1,10,0
dike,9,10-Jun-14,1,1,1978,4
dike,10,11-Jun-14,3,1,478,2
airport,11,12-Jun-14,2,1,13,0
dike,12,13-Jun-14,1,1,3028,3
lighthouse,13,14-Jun-14,3,1,369,2
airport,14,15-Jun-14,2,1,23,0
dike,15,16-Jun-14,1,1,2426,4
lighthouse,16,17-Jun-14,3,1,423,0
airport,17,18-Jun-14,2,1,70,0
dike,18,19-Jun-14,1,1,1065,1
lighthouse,19,20-Jun-14,3,1,235,1
airport,20,21-Jun-14,2,1,36,0
dike,21,22-Jun-14,1,1,1645,4
lighthouse,22,23-Jun-14,3,1,301,0
airport,23,24-Jun-14,2,1,16,0
dike,24,25-Jun-14,1,1,1656,1
lighthouse,25,26-Jun-14,3,1,198,0
airport,26,27-Jun-14,2,1,17,0
dike,27,28-Jun-14,1,1,1675,5
lighthouse,28,29-Jun-14,3,1,84,0
airport,29,30-Jun-14,2,1,18,0
dike,30,1-Jul-14,1,1,616,1
lighthouse,31,2-Jul-14,3,1,118,0
airport,32,3-Jul-14,2,1,15,0
dike,33,4-Jul-14,1,1,332,0
lighthouse,34,5-Jul-14,3,1,135,0
airport,35,6-Jul-14,2,1,4,0
dike,36,7-Jul-14,1,1,421,3
lighthouse,37,8-Jul-14,3,1,230,0
airport,38,9-Jul-14,2,1,12,0
dike,39,10-Jul-14,1,1,399,1
lighthouse,40,11-Jul-14,3,1,245,0
airport,41,12-Jul-14,2,1,7,0
dike,42,13-Jul-14,1,1,358,0
lighthouse,43,14-Jul-14,3,1,140,0
airport,44,15-Jul-14,2,1,19,0
dike,45,16-Jul-14,1,1,404,0
lighthouse,46,17-Jul-14,3,1,184,0
airport,47,18-Jul-14,2,1,70,0
dike,48,19-Jul-14,1,1,433,0
lighthouse,49,20-Jul-14,3,1,354,0
airport,50,21-Jul-14,2,1,42,0
lighthouse,51,22-Jul-14,1,1,478,1
lighthouse,52,23-Jul-14,3,1,210,0
airport,53,24-Jul-14,2,1,90,0
dike,54,25-Jul-14,1,1,420,0
lighthouse,55,26-Jul-14,3,1,73,0
airport,56,27-Jul-14,2,1,27,1
dike,57,28-Jul-14,1,1,510,0
lighthouse,58,29-Jul-14,3,1,97,0
