"Data set title: Wei-Ting Lin. 2016. Visual survey of insect communities on Iva frutescens in summer 2013 and 2014 on Sapelo Island, Georgia. Georgia Coastal Ecosystems LTER Data Catalog (data set INS-GCET-1608; http://gce-lter.marsci.uga.edu/public/app/dataset_details.asp?accession=INS-GCET-1608)",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Location","Location_Code","Patch_ID","Latitude","Longitude","Sample_Date","Length","Width","Area","Height","Distance_to_Nearest","Noon_Shade","Surround_Mud","Surround_Borrichia","Surround_Dry","Surround_Grass"
"none","none","none","decimal degrees","decimal degrees","dd-mmm-yyyy","m","m","square meter","m","m","none","none","none","none","none"
"nominal","code","nominal","coord","coord","datetime","data","data","calculation","data","data","data","data","data","data","data"
"dike",1,1,31.39913407,-81.28723980,28-May-13,2.17,0.67,1.4539,1.16,1.95,0.00,0.4,0.6,0.0,0.0
"dike",1,2,31.39848452,-81.28723022,28-May-13,1.44,1.65,2.3760,1.10,4.85,0.95,1.0,0.0,0.0,0.0
"dike",1,3,31.39803849,-81.28699972,28-May-13,0.49,0.74,0.3626,1.10,1.79,0.70,0.4,0.6,0.0,0.0
"dike",1,4,31.39766668,-81.28677073,28-May-13,1.55,2.05,3.1775,1.14,4.82,0.50,0.5,0.5,0.0,0.0
"dike",1,5,31.39733936,-81.28657941,28-May-13,0.46,0.49,0.2254,1.14,16.65,0.90,0.0,1.0,0.0,0.0
"dike",1,6,31.39699301,-81.28639832,28-May-13,0.93,0.90,0.8370,0.87,5.15,0.80,1.0,0.0,0.0,0.0
"dike",1,7,31.39685119,-81.28632844,28-May-13,1.42,1.12,1.5904,1.08,1.12,0.00,1.0,0.0,0.0,0.0
"dike",1,8,31.39663419,-81.28621406,28-May-13,2.15,0.99,2.1285,1.25,14.36,0.30,1.0,0.0,0.0,0.0
"dike",1,9,,,28-May-13,0.52,0.41,0.2132,0.71,2.13,0.00,0.0,0.0,1.0,0.0
"dike",1,10,31.39584454,-81.28576045,28-May-13,0.64,0.77,0.4928,1.00,1.23,0.00,0.3,0.7,0.0,0.0
"dike",1,11,31.39539538,-81.28552909,28-May-13,0.99,0.74,0.7326,1.05,3.27,0.00,0.0,0.0,1.0,0.0
"dike",1,12,31.39528199,-81.28546331,28-May-13,1.31,1.59,2.0829,1.00,2.05,0.50,1.0,0.0,0.0,0.0
"dike",1,13,31.39524756,-81.28539957,28-May-13,2.85,1.87,5.3295,1.56,4.05,0.30,0.9,0.1,0.0,0.0
