"Data set title: Wei-Ting Lin. 2016. Visual survey of insect communities on Iva frutescens in summer 2013 and 2014 on Sapelo Island, Georgia. Georgia Coastal Ecosystems LTER Data Catalog (data set INS-GCET-1608; http://gce-lter.marsci.uga.edu/public/app/dataset_details.asp?accession=INS-GCET-1608)",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"Location","Date","Location_code","Patch_ID","Part_Sampled","Time_CrabSample","Armases","Time_InsectSample","Spider","Ant","Ophraella","Paria","Uroleucon","Hesperotettix","Other_Grasshopper","Other_Planthoppers","Micrutalis","Cryptolaemus","Coccinella_septempunctata","Cycloneda_sanguinea","Naemia","Psyllobora","Ladybug_Pupa","Ladybug_Larvae"
"none","dd-mmm-yyyy","none","none","none","hh:mm","count","hh:mm","count","count","count","count","count","count","count","count","count","count","count","count","count","count","count","count"
"nominal","datetime","code","nominal","data","datetime","data","datetime","data","data","data","data","data","data","data","data","data","data","data","data","data","data","data","data"
"dike",29-May-13,1,1,1.00,6:32,2,9:20,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"dike",1-Jun-13,1,1,1.00,6:58,1,7:48,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0
"dike",4-Jun-13,1,1,1.00,6:17,4,8:45,1,0,0,0,22,0,0,1,0,0,0,0,0,0,0,0
"dike",7-Jun-13,1,1,1.00,6:28,1,14:29,1,4,0,0,14,0,0,0,0,0,0,0,0,0,0,0
"dike",10-Jun-13,1,1,1.00,6:57,1,9:51,2,7,0,0,10,0,0,0,1,0,0,0,0,0,0,0
"dike",13-Jun-13,1,1,1.00,6:23,1,9:52,5,9,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"dike",29-May-13,1,2,1.00,6:35,5,9:29,0,0,0,0,220,0,0,0,0,0,0,0,0,0,6,4
"dike",1-Jun-13,1,2,1.00,6:56,2,7:56,2,0,0,0,110,0,0,0,0,0,0,2,0,0,5,3
"dike",4-Jun-13,1,2,1.00,6:20,4,8:51,0,0,0,0,11,0,0,0,0,0,0,4,0,0,2,3
"dike",7-Jun-13,1,2,1.00,6:31,0,14:39,0,0,0,0,14,0,0,0,0,0,0,2,0,0,3,0
"dike",10-Jun-13,1,2,1.00,6:55,1,10:03,1,0,0,0,10,0,0,0,0,0,0,1,0,0,1,0
"dike",13-Jun-13,1,2,1.00,6:26,2,10:06,2,0,0,0,40,0,0,0,0,0,0,0,0,0,1,0
