Location,Time,Date,Location_code,Patch_ID,Uroleucon,Cycloneda_sanguinea
none,none,dd-mmm-yyyy,none,none,count,count
nominal,series,datetime,code,nominal,data,data
airport,1,3-Jun-14,2,1,36,0
airport,4,6-Jun-14,2,1,15,0
airport,7,9-Jun-14,2,1,10,0
airport,10,12-Jun-14,2,1,13,0
airport,13,15-Jun-14,2,1,23,0
airport,16,18-Jun-14,2,1,70,0
airport,19,21-Jun-14,2,1,36,0
airport,22,24-Jun-14,2,1,16,0
airport,25,27-Jun-14,2,1,17,0
airport,28,30-Jun-14,2,1,18,0
airport,31,3-Jul-14,2,1,15,0
airport,34,6-Jul-14,2,1,4,0
airport,37,9-Jul-14,2,1,12,0
airport,40,12-Jul-14,2,1,7,0
airport,43,15-Jul-14,2,1,19,0
airport,46,18-Jul-14,2,1,70,0
airport,49,21-Jul-14,2,1,42,0
airport,52,24-Jul-14,2,1,90,0
airport,55,27-Jul-14,2,1,27,1
