Location,Time,Date,Location_code,Patch_ID,Uroleucon,Cycloneda_sanguinea
none,none,dd-mmm-yyyy,none,none,count,count
nominal,series,datetime,code,nominal,data,data
dike,1,1-Jun-14,1,1,1127,5
dike,4,4-Jun-14,1,1,1065,3
dike,7,7-Jun-14,1,1,1008,3
dike,10,10-Jun-14,1,1,1978,4
dike,13,13-Jun-14,1,1,3028,3
dike,16,16-Jun-14,1,1,2426,4
dike,19,19-Jun-14,1,1,1065,1
dike,22,22-Jun-14,1,1,1645,4
dike,25,25-Jun-14,1,1,1656,1
dike,28,28-Jun-14,1,1,1675,5
dike,31,1-Jul-14,1,1,616,1
dike,34,4-Jul-14,1,1,332,0
dike,37,7-Jul-14,1,1,421,3
dike,40,10-Jul-14,1,1,399,1
dike,43,13-Jul-14,1,1,358,0
dike,46,16-Jul-14,1,1,404,0
dike,49,19-Jul-14,1,1,433,0
dike,52,22-Jul-14,1,1,478,1
dike,55,25-Jul-14,1,1,420,0
dike,58,28-Jul-14,1,1,510,0
