Location,Time,Date,Location_code,Patch_ID,Uroleucon,Cycloneda_sanguinea
none,none,dd-mmm-yyyy,none,none,count,count
nominal,series,datetime,code,nominal,data,data
lighthouse,1,5-Jun-14,3,1,157,1
lighthouse,4,8-Jun-14,3,1,482,2
lighthouse,7,11-Jun-14,3,1,478,2
lighthouse,10,14-Jun-14,3,1,369,2
lighthouse,13,17-Jun-14,3,1,423,0
lighthouse,16,20-Jun-14,3,1,235,1
lighthouse,19,23-Jun-14,3,1,301,0
lighthouse,22,26-Jun-14,3,1,198,0
lighthouse,25,29-Jun-14,3,1,84,0
lighthouse,28,2-Jul-14,3,1,118,0
lighthouse,31,5-Jul-14,3,1,135,0
lighthouse,34,8-Jul-14,3,1,230,0
lighthouse,37,11-Jul-14,3,1,245,0
lighthouse,40,14-Jul-14,3,1,140,0
lighthouse,43,17-Jul-14,3,1,184,0
lighthouse,46,20-Jul-14,3,1,354,0
lighthouse,49,23-Jul-14,3,1,210,0
lighthouse,52,26-Jul-14,3,1,73,0
lighthouse,55,29-Jul-14,3,1,97,0
