"Location","Time","Date","Location_code","Patch_ID","Density","Density_old"
"N/A",1,"N/A","N/A","N/A",7,7.10659898477157
"N/A",2,"N/A","N/A","N/A",8,8.15126526144963
"N/A",3,"N/A","N/A","N/A",7,7.10353254203385
"N/A",4,"N/A","N/A","N/A",5,5.07760458928538
"N/A",5,"N/A","N/A","N/A",4,4.09780537052063
"N/A",6,"N/A","N/A","N/A",3,3.10432509954145
"N/A",7,"N/A","N/A","N/A",2,2.08381295642821
"N/A",8,"N/A","N/A","N/A",3,3.10125865680373
"N/A",9,"N/A","N/A","N/A",4,4.07799143283075
"N/A",10,"N/A","N/A","N/A",3,3.0846055139358
"N/A",11,"N/A","N/A","N/A",1,1.08570943332138
"N/A",14,"N/A","N/A","N/A",9,9.11082595814542
"N/A",15,"N/A","N/A","N/A",7,7.09848470552715
"N/A",16,"N/A","N/A","N/A",7,7.0832940199649
"N/A",17,"N/A","N/A","N/A",7,7.09532391070519
"N/A",18,"N/A","N/A","N/A",6,6.10193799181024
"N/A",19,"N/A","N/A","N/A",6,6.10038118242032
"N/A",20,"N/A","N/A","N/A",3,3.09621082029702
"N/A",21,"N/A","N/A","N/A",2,2.06197044892722
"N/A",22,"N/A","N/A","N/A",3,3.07941614930274
"N/A",23,"N/A","N/A","N/A",4,4.08332232559017
"N/A",24,"N/A","N/A","N/A",2,2.05734719679958
"N/A",25,"N/A","N/A","N/A",1,1.05028022569019
"N/A",29,"N/A","N/A","N/A",7,7.06305549789595
"N/A",30,"N/A","N/A","N/A",5,5.05057271715132
"N/A",31,"N/A","N/A","N/A",2,2.03281565489782
"N/A",32,"N/A","N/A","N/A",1,1.03947691204499
"N/A",35,"N/A","N/A","N/A",5,5.02929632215576
"N/A",36,"N/A","N/A","N/A",6,6.06028154661936
"N/A",37,"N/A","N/A","N/A",4,4.03435359387089
"N/A",38,"N/A","N/A","N/A",3,3.05460155114827
"N/A",39,"N/A","N/A","N/A",2,2.0204555318627
"N/A",40,"N/A","N/A","N/A",2,2.01880437038854
"N/A",41,"N/A","N/A","N/A",0,0.060762742248977
