Location,Time,Date,Location_code,Patch_ID,Uroleucon,Cycloneda_sanguinea
none,none,dd-mmm-yyyy,none,none,count,count
nominal,series,datetime,code,nominal,data,data
dike,1,1-Jun-14,1,1,9,1
dike,2,4-Jun-14,1,1,3,0
dike,3,7-Jun-14,1,1,42,0
dike,4,10-Jun-14,1,1,134,1
dike,5,13-Jun-14,1,1,209,0
dike,6,16-Jun-14,1,1,65,1
dike,7,19-Jun-14,1,1,35,0
dike,8,22-Jun-14,1,1,3,1
dike,9,25-Jun-14,1,1,4,0
dike,10,28-Jun-14,1,1,0,0
dike,11,1-Jul-14,1,1,0,0
dike,12,4-Jul-14,1,1,0,0
dike,13,7-Jul-14,1,1,0,0
dike,14,10-Jul-14,1,1,0,0
dike,15,13-Jul-14,1,1,0,0
dike,16,16-Jul-14,1,1,0,0
dike,17,19-Jul-14,1,1,0,0
dike,18,22-Jul-14,1,1,0,1
dike,19,25-Jul-14,1,1,0,0
dike,20,28-Jul-14,1,1,0,0
dike,1,1-Jun-14,1,2,199,0
dike,2,4-Jun-14,1,2,293,0
dike,3,7-Jun-14,1,2,122,0
dike,4,10-Jun-14,1,2,422,0
dike,5,13-Jun-14,1,2,985,0
dike,6,16-Jun-14,1,2,487,0
dike,7,19-Jun-14,1,2,222,0
dike,8,22-Jun-14,1,2,142,0
dike,9,25-Jun-14,1,2,127,0
dike,10,28-Jun-14,1,2,28,0
dike,11,1-Jul-14,1,2,5,0
dike,12,4-Jul-14,1,2,2,0
dike,13,7-Jul-14,1,2,33,0
dike,14,13-Jul-14,1,2,5,0
dike,15,16-Jul-14,1,2,32,0
dike,16,19-Jul-14,1,2,44,0
dike,17,22-Jul-14,1,2,45,0
dike,18,25-Jul-14,1,2,37,0
dike,19,28-Jul-14,1,2,30,0
dike,1,1-Jun-14,1,3,12,0
dike,2,4-Jun-14,1,3,23,0
dike,3,7-Jun-14,1,3,4,1
dike,4,10-Jun-14,1,3,7,0
dike,5,13-Jun-14,1,3,0,0
dike,6,16-Jun-14,1,3,1,0
dike,7,19-Jun-14,1,3,29,0
dike,8,22-Jun-14,1,3,5,0
dike,9,25-Jun-14,1,3,4,0
dike,10,28-Jun-14,1,3,8,0
dike,11,1-Jul-14,1,3,13,0
