,variable,time,x,density
0,ladybeetle,0,1.0,2.7910892223113066
1,ladybeetle,0,2.0,2.7342747111681653
2,ladybeetle,0,3.0,2.697629137555836
3,ladybeetle,0,4.0,2.6179131829114617
4,ladybeetle,0,5.0,2.6861360718870344
5,ladybeetle,0,6.0,2.669768934531451
6,ladybeetle,0,7.0,2.6553273427471105
7,ladybeetle,0,8.0,2.638960205391527
8,ladybeetle,1,1.0,1.0
9,ladybeetle,1,2.0,2.6666666666666643
10,ladybeetle,1,3.0,4.333333333333332
11,ladybeetle,1,4.0,6.066666666666666
12,ladybeetle,1,5.0,3.466666666666665
13,ladybeetle,1,6.0,0.93333333333333
14,ladybeetle,1,7.0,1.93333333333333
15,ladybeetle,1,8.0,0.3333333333333286
16,ladybeetle,2,1.0,0.8584032240496596
17,ladybeetle,2,2.0,0.3800239625313111
18,ladybeetle,2,3.0,2.8346585339287635
19,ladybeetle,2,4.0,11.8898812765494
20,ladybeetle,2,5.0,9.146389282213264
21,ladybeetle,2,6.0,1.0609955342555182
22,ladybeetle,2,7.0,0.8459862760047869
23,ladybeetle,2,8.0,0.23298115673673442
24,ladybeetle,3,1.0,0.46666666666666157
25,ladybeetle,3,2.0,0.93333333333333
26,ladybeetle,3,3.0,3.9333333333333336
27,ladybeetle,3,4.0,9.0
28,ladybeetle,3,5.0,8.0
29,ladybeetle,3,6.0,1.8000000000000007
30,ladybeetle,3,7.0,1.0
31,ladybeetle,3,8.0,0.3333333333333286
