variable,time,x,density
ladybeetle,0,1.0,2.7910892223113066
ladybeetle,0,2.0,2.7342747111681653
ladybeetle,0,3.0,2.697629137555836
ladybeetle,0,4.0,2.6179131829114617
ladybeetle,0,5.0,2.6861360718870344
ladybeetle,0,6.0,2.669768934531451
ladybeetle,0,7.0,2.6553273427471105
ladybeetle,0,8.0,2.638960205391527
ladybeetle,1,1.0,1.0
ladybeetle,1,2.0,2.6666666666666643
ladybeetle,1,3.0,4.333333333333332
ladybeetle,1,4.0,6.066666666666666
ladybeetle,1,5.0,3.466666666666665
ladybeetle,1,6.0,0.93333333333333
ladybeetle,1,7.0,1.93333333333333
ladybeetle,1,8.0,0.3333333333333286
ladybeetle,2,1.0,0.8584032240496596
ladybeetle,2,2.0,0.3800239625313111
ladybeetle,2,3.0,2.8346585339287635
ladybeetle,2,4.0,11.8898812765494
ladybeetle,2,5.0,9.146389282213264
ladybeetle,2,6.0,1.0609955342555182
ladybeetle,2,7.0,0.8459862760047869
ladybeetle,2,8.0,0.23298115673673442
ladybeetle,3,1.0,0.46666666666666157
ladybeetle,3,2.0,0.93333333333333
ladybeetle,3,3.0,3.9333333333333336
ladybeetle,3,4.0,9.0
ladybeetle,3,5.0,8.0
ladybeetle,3,6.0,1.8000000000000007
ladybeetle,3,7.0,1.0
ladybeetle,3,8.0,0.3333333333333286
