"Location","Time","Date","Location_code","Patch_ID","Density"
"N/A",1,"N/A","N/A","N/A",7.0
"N/A",2,"N/A","N/A","N/A",8.0
"N/A",3,"N/A","N/A","N/A",7.0
"N/A",4,"N/A","N/A","N/A",5.0
"N/A",5,"N/A","N/A","N/A",4.0
"N/A",6,"N/A","N/A","N/A",3.0
"N/A",7,"N/A","N/A","N/A",2.0
"N/A",8,"N/A","N/A","N/A",3.0
"N/A",9,"N/A","N/A","N/A",4.0
"N/A",10,"N/A","N/A","N/A",3.0
"N/A",11,"N/A","N/A","N/A",1.0
"N/A",14,"N/A","N/A","N/A",9.0
"N/A",15,"N/A","N/A","N/A",7.0
"N/A",16,"N/A","N/A","N/A",7.0
"N/A",17,"N/A","N/A","N/A",7.0
"N/A",18,"N/A","N/A","N/A",6.0
"N/A",19,"N/A","N/A","N/A",6.0
"N/A",20,"N/A","N/A","N/A",3.0
"N/A",21,"N/A","N/A","N/A",2.0
"N/A",22,"N/A","N/A","N/A",3.0
"N/A",23,"N/A","N/A","N/A",4.0
"N/A",24,"N/A","N/A","N/A",2.0
"N/A",25,"N/A","N/A","N/A",1.0
"N/A",29,"N/A","N/A","N/A",7.0
"N/A",30,"N/A","N/A","N/A",5.0
"N/A",31,"N/A","N/A","N/A",2.0
"N/A",32,"N/A","N/A","N/A",1.0
"N/A",35,"N/A","N/A","N/A",5.0
"N/A",36,"N/A","N/A","N/A",6.0
"N/A",37,"N/A","N/A","N/A",4.0
"N/A",38,"N/A","N/A","N/A",3.0
"N/A",39,"N/A","N/A","N/A",2.0
"N/A",40,"N/A","N/A","N/A",2.0
"N/A",41,"N/A","N/A","N/A",0.0
