,r3,a21
0,5.332789945897172e-08,3.2767129770879935e-05
1,5.332909984440813e-08,3.277943407956076e-05
2,5.3337506822738255e-08,3.278714711512924e-05
3,5.3337506822738255e-08,3.278714711512924e-05
4,5.3337506822738255e-08,3.278714711512924e-05
5,5.3337506822738255e-08,3.278714711512924e-05
6,5.3337506822738255e-08,3.278714711512924e-05
7,5.332174484302016e-08,3.2760467104799553e-05
8,5.326404522776394e-08,3.2720315155937756e-05
9,5.327813060145013e-08,3.2746482274028385e-05
10,5.319358720438834e-08,3.2676324912653006e-05
11,5.314078780275331e-08,3.264287227422246e-05
12,5.314078780275331e-08,3.264287227422246e-05
13,5.314078780275331e-08,3.264287227422246e-05
14,5.314078780275331e-08,3.264287227422246e-05
15,5.310497945709015e-08,3.262487586533616e-05
16,5.310497945709015e-08,3.262487586533616e-05
17,5.3186754954522625e-08,3.2682212124490455e-05
18,5.3186754954522625e-08,3.2682212124490455e-05
19,5.3186754954522625e-08,3.2682212124490455e-05
20,5.3077809334009625e-08,3.2600010502206146e-05
21,5.2991909123323e-08,3.254577932997319e-05
22,5.3033579832252975e-08,3.257481763681856e-05
23,5.314408295747955e-08,3.2637113515055055e-05
24,5.314408295747955e-08,3.2637113515055055e-05
25,5.314408295747955e-08,3.2637113515055055e-05
26,5.3092771128325995e-08,3.2609737471021024e-05
27,5.306087564939667e-08,3.2598419913283e-05
28,5.306087564939667e-08,3.2598419913283e-05
29,5.321374253585037e-08,3.269268949680911e-05
30,5.3201631330048016e-08,3.267607247303397e-05
31,5.3292408443474326e-08,3.275661134090384e-05
32,5.328114481005763e-08,3.2744328744142175e-05
33,5.3240869871332286e-08,3.2708866695250486e-05
34,5.317060369802122e-08,3.266025181607403e-05
35,5.321479859808902e-08,3.2693253574842256e-05
36,5.321479859808902e-08,3.2693253574842256e-05
37,5.321479859808902e-08,3.2693253574842256e-05
38,5.321479859808902e-08,3.2693253574842256e-05
39,5.3266329660475434e-08,3.273808592768464e-05
40,5.319470054842928e-08,3.267812049701773e-05
41,5.319470054842928e-08,3.267812049701773e-05
42,5.310741513834557e-08,3.261857666832164e-05
43,5.313319645679515e-08,3.2633907455100826e-05
44,5.313319645679515e-08,3.2633907455100826e-05
45,5.305662901466211e-08,3.258960195441358e-05
46,5.297385782075004e-08,3.253898761112154e-05
47,5.303772570923043e-08,3.256761119777141e-05
48,5.303772570923043e-08,3.256761119777141e-05
49,5.302428054380063e-08,3.256514278786236e-05
50,5.302428054380063e-08,3.256514278786236e-05
51,5.302428054380063e-08,3.256514278786236e-05
52,5.321980263965305e-08,3.270118485772918e-05
53,5.31845302926098e-08,3.266079157005404e-05
54,5.3181647366139986e-08,3.265851329297461e-05
55,5.3136695017962386e-08,3.2637193590530616e-05
56,5.3136695017962386e-08,3.2637193590530616e-05
57,5.3136695017962386e-08,3.2637193590530616e-05
58,5.310932373738688e-08,3.2633701002531045e-05
59,5.310932373738688e-08,3.2633701002531045e-05
60,5.310053186619524e-08,3.2624773960418755e-05
61,5.2981038682557064e-08,3.25498821852991e-05
62,5.2981038682557064e-08,3.25498821852991e-05
63,5.293476895338352e-08,3.2499192803569586e-05
64,5.293476895338352e-08,3.2499192803569586e-05
65,5.29104117029078e-08,3.248279535949823e-05
66,5.29104117029078e-08,3.248279535949823e-05
67,5.29104117029078e-08,3.248279535949823e-05
68,5.29104117029078e-08,3.248279535949823e-05
69,5.29104117029078e-08,3.248279535949823e-05
70,5.3099934953348186e-08,3.259325862695808e-05
71,5.308105745864574e-08,3.259246654049065e-05
72,5.308105745864574e-08,3.259246654049065e-05
73,5.301253723858839e-08,3.25612947452397e-05
74,5.319149747009653e-08,3.266980834765137e-05
75,5.3153673963774865e-08,3.2655211110611785e-05
76,5.311848347345321e-08,3.2629292075857344e-05
77,5.311848347345321e-08,3.2629292075857344e-05
78,5.3156633388516877e-08,3.264869994955292e-05
79,5.317081747424479e-08,3.266109008712049e-05
80,5.3164473170900584e-08,3.265184902498107e-05
81,5.3243047438749204e-08,3.2719974457129154e-05
82,5.3243047438749204e-08,3.2719974457129154e-05
83,5.32101394713224e-08,3.268517964325226e-05
84,5.32101394713224e-08,3.268517964325226e-05
85,5.31910059693783e-08,3.267422313306772e-05
86,5.317345406240651e-08,3.266535752901759e-05
87,5.317345406240651e-08,3.266535752901759e-05
88,5.318212922216473e-08,3.267096965254949e-05
89,5.301915521672415e-08,3.256076920822408e-05
90,5.306984753781392e-08,3.2586973421949033e-05
91,5.296174770442251e-08,3.2526914789607305e-05
92,5.296174770442251e-08,3.2526914789607305e-05
93,5.285917690056058e-08,3.2487409350644096e-05
94,5.285917690056058e-08,3.2487409350644096e-05
95,5.285917690056058e-08,3.2487409350644096e-05
96,5.285917690056058e-08,3.2487409350644096e-05
97,5.285917690056058e-08,3.2487409350644096e-05
98,5.285917690056058e-08,3.2487409350644096e-05
99,5.285917690056058e-08,3.2487409350644096e-05
100,5.285917690056058e-08,3.2487409350644096e-05
101,5.285917690056058e-08,3.2487409350644096e-05
102,5.2904023043025236e-08,3.25184198072322e-05
103,5.2904023043025236e-08,3.25184198072322e-05
104,5.294046367460513e-08,3.25177956769986e-05
105,5.303844769232464e-08,3.2571095378334933e-05
106,5.3018243711581024e-08,3.255988523687695e-05
107,5.321094801368486e-08,3.2678553043823256e-05
108,5.313256660237926e-08,3.2624191139101276e-05
109,5.313256660237926e-08,3.2624191139101276e-05
110,5.3189410052609765e-08,3.2679931294987874e-05
111,5.308897158788441e-08,3.2610214405207186e-05
112,5.3160783533300026e-08,3.266341028863453e-05
113,5.322099695175705e-08,3.270016066474654e-05
114,5.32727759642259e-08,3.2722407566963464e-05
115,5.32727759642259e-08,3.2722407566963464e-05
116,5.32727759642259e-08,3.2722407566963464e-05
117,5.32727759642259e-08,3.2722407566963464e-05
118,5.32727759642259e-08,3.2722407566963464e-05
119,5.32727759642259e-08,3.2722407566963464e-05
